source_id,source_label,profile_type,variable,column,field_id,instance,value,value_label,count,percent,non_missing_count,missing_percent,mean,sd,median,q1,q3,min,max,zero_percent,skewness,extreme_z_percent
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2018-12-10,2018-12-10,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-05,2019-03-05,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-09-20,2019-09-20,24,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-03-07,2020-03-07,22,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-09-02,2019-09-02,22,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-18,2019-11-18,21,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-05,2019-10-05,21,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-29,2019-10-29,20,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-17,2019-11-17,20,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-01-07,2020-01-07,20,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-02-04,2020-02-04,20,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-08-25,2019-08-25,20,0.0%,,,,,,,,,,,,
