source_id,group_id,instance,participant_count,source_participant_count,source_percent
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_whole_body__23106,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_whole_body_manual_entry__6218,all,31,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_whole_body_manual_entry__6218,0,25,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_whole_body_manual_entry__6218,1,1,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_whole_body_manual_entry__6218,2,5,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_left__23116,all,493026,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_left__23116,0,492300,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_left__23116,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_left__23116,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_left__23116,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_right__23112,all,493050,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_right__23112,0,492328,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_right__23112,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_right__23112,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_mass_right__23112,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_left__23115,all,493031,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_left__23115,0,492305,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_left__23115,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_left__23115,2,46385,502505,9.2%
